prd_cd,prd_brnd_nm,prd_brnd_cd,prd_tp_cat_vl,prd_nm,item_index
111130000494,아이오페,11113,쿠션,[리필] 슈퍼바이탈 트윈팩트 SPF32 PA+++,854
111310100600,미쟝센,11131,컬러,[세트] 헬로버블 프라이머+8MG 매트골드,855
001131000019,샬랑드파리,00113,로션 & 에멀젼,에쌍스 드 보떼 메모리아,856
180030000036,디어. 클레어스,18003,크림,[#10532] 콜럼버스 C,857
111771001445,이니스프리,11177,에센스 & 세럼,한란 인리치드 에센스+인리치드 크림+틴케이스+꽃송이 4종,858
111310100539,미쟝센,11131,샴푸,[3입] 퍼펙트세럼 슈퍼리치 샴푸,859
002011000053,스틸라,00201,하이라이터,헤븐스 휴 하이라이터 듀오 세트,860
007051000050,프라고나르퍼퓸,00705,향수,프라고나르 룸 프레그런스 디퓨저 코랄 200ML,861
007021000033,프라다퍼퓸,00702,남성향수,루나 로사 카본 EDT 100ML,862
110770000115,바이탈뷰티,11077,홍삼 & 진생베리,[P] 홍삼진액청스틱,863
111070000416,헤라,11107,아이 & 넥,시그니아 아이 트리트먼트 보세트,864
111070000875,헤라,11107,에센스 & 세럼,[대용량] 셀 에센스,865
111310000267,미쟝센,11131,에센스 & 세럼 & 오일,펄 풀글래머러스 볼륨 에센스,866
008011000018,생활도감,00801,바디워시,고백 핸드워시,867
110650000196,마몽드,11065,크림,토탈 솔루션 크림,868
111270100242,일리윤,11127,"",[2입] 히알루론 모이스춰 수분크림,869
111310000294,미쟝센,11131,헤어케어,파워스윙 헤어 울트라 매트왁스,870
110770000063,바이탈뷰티,11077,영양보충,프림로즈,871
111970000687,라네즈,11197,"",크림 스킨 퀵 스킨 팩,872
111771000779,이니스프리,11177,립틴트,비비드 샤인 틴트(1호~5호),873
005021000077,마이팩토리,00502,핸드 & 풋케어,엘리트모델스 멀티레이어 파일,874
111970000709,라네즈,11197,쿠션,[P] 레이어링 커버 쿠션 + 컨실링 베이스,875
002061000005,에뛰드하우스,00206,프라이머 & 베이스,글로우 온 베이스 하이드라,876
611121000246,에스쁘아,61112,프라이머 & 베이스,[P] 인스턴트 스킨 인핸서 매티파잉,877
003031000026,오드리리프스,00303,에센스 & 세럼,캐몰린 퍼펙트 릴리프 세럼,878
007091000003,아리아나 그란데,00709,향수,아리아나그란데 땡큐 넥스트 오데퍼퓸 50ML,879
007061000017,바디홀릭,00706,남녀공용,바디미스트 6종6900원,880
005021000119,마이팩토리,00502,바디 & 헤어 소품,엘리트스파 안티 셀룰라이트 마사지기,881
111771000901,이니스프리,11177,스킨 & 토너,19′ 그린티 포맨 스킨,882
000511000209,피카소,00051,눈(Eye) 전용,New 306 아이라이너,883
