"prd_cd","tg_prd_cd_cd","prd_nm","prd_cd_cd","prd_brnd_nm","prd_brnd_nm_cd","tg_prd_brnd_nm_cd","apmall_cate_lev1","apmall_cate_lev1_nm","apmall_cate_lev1_cd","tg_apmall_cate_lev1_cd","apmall_cate_lev2","apmall_cate_lev2_nm","apmall_cate_lev2_cd","tg_apmall_cate_lev2_cd","apmall_cate_lev3","apmall_cate_lev3_nm","apmall_cate_lev3_cd","tg_apmall_cate_lev3_cd","brand_sn","brand_name","brand_sn_cd","tg_brand_sn_cd","set_yn","set_yn_cd","tg_set_yn_cd","brnd_grp_nm","brnd_grp_nm_cd","tg_brnd_grp_nm_cd","brnd_dtl_cd","brnd_dtl_nm","brnd_dtl_cd_cd","tg_brnd_dtl_cd_cd","prd_mkt_cat_cd","prd_mkt_cat_nm","prd_mkt_cat_cd_cd","tg_prd_mkt_cat_cd_cd","prd_mkt_lcat_cd","prd_mkt_lcat_nm","prd_mkt_lcat_cd_cd","tg_prd_mkt_lcat_cd_cd","prd_use_cd","prd_use_cd_cd","tg_prd_use_cd_cd","prd_scat_cd","prd_scat_nm","prd_scat_cd_cd","tg_prd_scat_cd_cd","prd_mcat_cd","prd_mcat_nm","prd_mcat_cd_cd","tg_prd_mcat_cd_cd","prd_lcat_cd","prd_lcat_nm","prd_lcat_cd_cd","tg_prd_lcat_cd_cd","main_func_cd","main_func_nm","main_func_cd_cd","tg_main_func_cd_cd","user_tp_cd","user_tp_cd_nm","user_tp_cd_cd","tg_user_tp_cd_cd","prd_grd_cd","prd_grd_cd_cd","tg_prd_grd_cd_cd"
"110650000258","315","롱래스팅 리퀴드 아이라이너","315","마몽드","21","21","CTG002","메이크업","1","1","CTG002003","아이","8","8","CTG002003005","아이라이너","34","34","11","마몽드","2","2","N","0","0","프리미엄","4","4","11065","마몽드","5","5","M3","아이(메이크업)","3","3","M","메이크업","1","1","01","1","1","ABQ","아이라이너","24","24","AB","메이크업","1","1","A","Beauty","0","0","BA07","메이크업_컬러표현","20","20","2","여성용","2","2","R14","7","7"
"110640000299","296","와일드 씨드 퍼밍 세럼","296","프리메라","70","70","CTG001","스킨케어","0","0","CTG001002","모이스처라이징","2","2","CTG001002003","에센스 & 세럼","10","10","10","프리메라","1","1","N","0","0","럭셔리","3","3","11064","프리메라","4","4","S2","안티에이징(스킨케어)","9","9","S","스킨케어","2","2","01","1","1","AAC","에센스","2","2","AA","스킨케어","0","0","A","Beauty","0","0","AA02","스킨케어 _안티에이징_피부탄력. 재생","2","2","1","공용","1","1","R12","5","5"
"111290000417","589","마이크로 미셀라 딥클렌징폼","589","해피바스","77","77","CTG001","스킨케어","0","0","CTG001001","클렌징","1","1","CTG001001002","클렌징폼","3","3","20","해피바스","9","9","N","0","0","데일리뷰티","2","2","11129","해피바스","14","14","S4","클렌징(스킨케어)","11","11","S","스킨케어","2","2","01","1","1","AAE","페이셜 워시","4","4","AA","스킨케어","0","0","A","Beauty","0","0","AA12","클렌징_페이셜워시","11","11","1","공용","1","1","X00","12","12"
"111410100334","708","[2입] 자양윤모 새치커버 4.0짙은갈색","708","려","15","15","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002006","컬러 ","62","62","23","려","12","12","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111270100260","577","[2입] 오일스무딩 클렌저","577","일리윤","61","61","CTG001","스킨케어","0","0","CTG001001","클렌징","1","1","CTG001001004","클렌징 오일","5","5","19","일리윤","8","8","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111410100323","704","[3입] 함빛 극손상케어 샴푸","704","려","15","15","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002001","샴푸","57","57","23","려","12","12","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"110640000257","282","수딩 센서티브 젤 클렌저","282","프리메라","70","70","CTG001","스킨케어","0","0","CTG001001","클렌징","1","1","CTG001001002","클렌징폼","3","3","10","프리메라","1","1","N","0","0","럭셔리","3","3","11064","프리메라","4","4","S4","클렌징(스킨케어)","11","11","S","스킨케어","2","2","01","1","1","AAE","페이셜 워시","4","4","AA","스킨케어","0","0","A","Beauty","0","0","AA12","클렌징_페이셜워시","11","11","1","공용","1","1","R13","6","6"
"111310000219","627","헤어 미스트 라인별 4종","627","미쟝센","26","26","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002004","에센스 & 세럼 & 오일","60","60","21","미쟝센","10","10","N","0","0","데일리뷰티","2","2","11131","미쟝센","15","15","Z1","헤어(비화장품)","16","16","H","HBD외","0","0","01","1","1","ACA","양모","28","28","AC","헤어","2","2","A","Beauty","0","0","DA03","헤어_영양","41","41","1","공용","1","1","R13","6","6"
"611121000315","981","[거울증정]NEW 꾸뛰르 립 플루이드 벨벳","981","에스쁘아","55","55","CTG002","메이크업","1","1","CTG002002","립","7","7","CTG002002001","립스틱","28","28","45","에스쁘아","31","31","N","0","0","관계사","1","1","61112","에스쁘아","48","48","M4","립(메이크업)","4","4","M","메이크업","1","1","01","1","1","ABK","립리퀴드(액체)","19","19","AB","메이크업","1","1","A","Beauty","0","0","BA07","메이크업_컬러표현","20","20","2","여성용","2","2","A02","3","3"
"111290100508","614","[세트] 제로퍼센트 핸드워시+쿨링 풋 워시","614","해피바스","77","77","CTG004","생활용품","3","3","CTG004001","바디","14","14","CTG004001","바디","46","46","20","해피바스","9","9","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"611121000363","984","수퍼 소프트 페이스 브러쉬","984","에스쁘아","55","55","CTG005","소품 & 도구","4","4","CTG005005","브러쉬","22","22","CTG005005001","얼굴(Face)","74","74","45","에스쁘아","31","31","N","0","0","관계사","1","1","61112","에스쁘아","48","48","ZZ","기타(비화장품)","23","23","H","HBD외","0","0","01","1","1","AHA","메이크업소품","51","51","AH","소품&도구","7","7","A","Beauty","0","0","BA09","메이크업_기타","22","22","2","여성용","2","2","R15","8","8"
"002091000035","149","멜티 루미너스 루즈","149","캔메이크","62","62","CTG002","메이크업","1","1","CTG002002","립","7","7","CTG002002001","립스틱","28","28","66","캔메이크","44","44","N","0","0",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111850000009","833","워터뱅크 큐브 4주","833","큐브미","64","64","CTG006","뷰티푸드","5","5","CTG006001","뷰티푸드 ","24","24","CTG006001002","이너뷰티 ","80","80","52","큐브미","34","34","N","0","0","AP 기타","0","0","11185","큐브미","26","26","Z4","건강식품(비화장품)","19","19","H","HBD외","0","0","01","1","1","BAB","Beautiful Living","57","57","BA","건강식품","9","9","B","Health","1","1","CA02","건강식품 _뷰티","34","34","1","공용","1","1","R14","7","7"
"220110000135","929","오 드 아드리앙 넥타 바디 밀크","929","구딸파리","2","2","CTG004","생활용품","3","3","CTG004001","바디","14","14","CTG004001003","바디모이스처라이저 ","49","49","33","구딸파리","22","22","N","0","0","럭셔리","3","3","22011","구딸 파리","42","42","Z2","바디(비화장품)","17","17","H","HBD외","0","0","01","1","1","ADB","바디보습","33","33","AD","바디","3","3","A","Beauty","0","0","EA99","바디 _기타","59","59","1","공용","1","1","R14","7","7"
"111310100438","647","[2입] 파워스윙 크림 왁스9","647","미쟝센","26","26","CTG004","생활용품","3","3","CTG004002","헤어","15","15","CTG004002005","스타일링 ","61","61","21","미쟝센","10","10","Y","1","1",,"5","5",,,"53","53",,,"24","24",,,"3","3",,"2","2",,,"59","59",,,"11","11",,,"3","3",,,"67","67",,,"5","5",,"15","15"
"111290000672","611","에센스 라벤더 에센스 바디워시 200g","611","해피바스","77","77","CTG004","생활용품","3","3","CTG004001","바디","14","14","CTG004001001","바디워시","47","47","20","해피바스","9","9","N","0","0","데일리뷰티","2","2","11129","해피바스","14","14","Z2","바디(비화장품)","17","17","H","HBD외","0","0","01","1","1","ADA","바디세정","32","32","AD","바디","3","3","A","Beauty","0","0","EA10","바디 _세정","57","57","1","공용","1","1","R13","6","6"
